Country;Locality;Site;File;Observer
Venezuela;Cubagua;Punta Conejo;conejo_t1;KR
Venezuela;Cubagua;Punta Conejo;conejo_t2;LMM
Venezuela;Cubagua;Punta Conejo;conejo_t3;EM
Venezuela;Cubagua;Punta Conejo;conejo_t4;EM
Venezuela;Cubagua;Charagato;charagato_t1;LMM
Venezuela;Cubagua;Charagato;charagato_t2;EM
Venezuela;Cubagua;Charagato;charagato_t3;AA
Venezuela;Cubagua;Charagato;charagato_t4;AR
Venezuela;Cubagua;La Muerta;muerta_t1;LMM
Venezuela;Cubagua;La Muerta;muerta_t2;AA
Venezuela;Cubagua;La Muerta;muerta_t3;EM
Venezuela;Cubagua;La Muerta;muerta_t4;EM
Venezuela;Los Frailes;Cominoto;cominoto_t1;LMM
Venezuela;Los Frailes;Cominoto;cominoto_t2;AA
Venezuela;Los Frailes;Cominoto;cominoto_t3;EM
Venezuela;Los Frailes;Cominoto;cominoto_t4;AA
Venezuela;Los Frailes;La Pecha;pecha_t1;LMM
Venezuela;Los Frailes;La Pecha;pecha_t2;AR
Venezuela;Los Frailes;La Pecha;pecha_t3;AA
Venezuela;Los Frailes;La Pecha;pecha_t4;EM
Venezuela;Los Frailes;Puerto Real;real_t1;LMM
Venezuela;Los Frailes;Puerto Real;real_t2;AR
Venezuela;Los Frailes;Puerto Real;real_t3;AR
Venezuela;Los Frailes;Puerto Real;real_t4;EM
Venezuela;Morrocoy;Bajo Caiman;caiman_t1;GM
Venezuela;Morrocoy;Bajo Caiman;caiman_t2;GM
Venezuela;Morrocoy;Bajo Caiman;caiman_t3;LMM
Venezuela;Morrocoy;Bajo Caiman;caiman_t4;ZRS
Venezuela;Morrocoy;Mero;mero_t1;LMM
Venezuela;Morrocoy;Mero;mero_t2;EM
Venezuela;Morrocoy;Mero;mero_t3;AA
Venezuela;Morrocoy;Mero;mero_t4;ZRS
Venezuela;Morrocoy;Norte;norte_t1;Calibraci?n
Venezuela;Morrocoy;Norte;norte_t2;EM
Venezuela;Morrocoy;Norte;norte_t3;LMM
Venezuela;Morrocoy;Norte;norte_t4;ZM
Venezuela;Morrocoy;Medio;medio_t1;Calibraci?n
Venezuela;Morrocoy;Medio;medio_t2;LMM
Venezuela;Morrocoy;Medio;medio_t3;EM
Venezuela;Morrocoy;Medio;medio_t4;LMM, EM
Venezuela;Morrocoy;Sur;sur_t1;EM
Venezuela;Morrocoy;Sur;sur_t2;LMM
Venezuela;Morrocoy;Sur;sur_t3;EM
Venezuela;Morrocoy;Sur;sur_t4;LMM
Venezuela;Morrocoy;Sombrero;sombrero_t1;Calibraci?n
Venezuela;Morrocoy;Sombrero;sombrero_t2;EM
Venezuela;Morrocoy;Sombrero;sombrero_t3;ZM
Venezuela;Morrocoy;Sombrero;sombrero_t4;LMM
Venezuela;Morrocoy;Boca Seca;bs_t1;EM
Venezuela;Morrocoy;Boca Seca;bs_t2;LMM
Venezuela;Morrocoy;Boca Seca;bs_t3;LMM
Venezuela;Morrocoy;Boca Seca;bs_t4;EM
Venezuela;Mochima;Carabela;carabela_t1;LMM, EM
Venezuela;Mochima;Carabela;carabela_t2;LMM, EM
Venezuela;Mochima;Carabela;carabela_t3;EM, LMM
Venezuela;Mochima;Carabela;carabela_t4;LMM, EM
Venezuela;Mochima;Punta Cruz;cruz_t1;EM, LMM, ZM
Venezuela;Mochima;Punta Cruz;cruz_t2;GM, LMM, EM, ZM
Venezuela;Mochima;Punta Cruz;cruz_t3;LMM, EM, ZM
Venezuela;Mochima;Punta Cruz;cruz_t4;AR, LM, GM, EM, ZM
Venezuela;Mochima;San Agustin;agustin_t1;EM, LMM, ZM
