Species name,Species ID,Group name,Group ID
Acropora cervicornis,1,Scleractinian (branching),1
Acropora palmata,2,Scleractinian (branching),1
Acropora prolifera,3,Scleractinian (branching),1
Acropora sp.,4,Scleractinian (branching),1
Madracis carmabi,5,Scleractinian (branching),1
Madracis formosa,6,Scleractinian (branching),1
Madracis mirabilis,7,Scleractinian (branching),1
Madracis sp.,8,Scleractinian (branching),1
Oculina diffusa,9,Scleractinian (branching),1
Porites divaricata,10,Scleractinian (branching),1
Porites furcata,11,Scleractinian (branching),1
Porites porites,12,Scleractinian (branching),1
Porites sp.,13,Scleractinian (branching),1
Other (Scleractinian branching),14,Scleractinian (branching),1
Agaricia agaricites (purpurea),15,Scleractinian (plate),2
Agaricia fragilis,16,Scleractinian (plate),2
Agaricia grahamae,17,Scleractinian (plate),2
Agaricia lamarcki,18,Scleractinian (plate),2
Agaricia sp.,19,Scleractinian (plate),2
Agaricia undata,20,Scleractinian (plate),2
Dichocoenia stokesii,21,Scleractinian (plate),2
Leptosteris cucullata,22,Scleractinian (plate),2
Meandrina jacksoni,23,Scleractinian (plate),2
Meandrina meandrites,24,Scleractinian (plate),2
Mycetophyllia aliciae,25,Scleractinian (plate),2
Mycetophyllia daniana,26,Scleractinian (plate),2
Mycetophyllia ferox,27,Scleractinian (plate),2
Mycetophyllia lamarckiana,28,Scleractinian (plate),2
Mycetophyllia reesi,29,Scleractinian (plate),2
Mycetophyllia sp.,30,Scleractinian (plate),2
Porites astreoides,31,Scleractinian (plate),2
Porites sp.,32,Scleractinian (plate),2
Pseudodiploria clivosa,33,Scleractinian (plate),2
Pseudodiploria strigosa,34,Scleractinian (plate),2
Other (Scleractinian plate),35,Scleractinian (plate),2
Agaricia agaricites (carinata),36,Scleractinian (foliose),3
Agaricia agaricites (danai),37,Scleractinian (foliose),3
Agaricia sp.,38,Scleractinian (foliose),3
Agaricia tenuifolia,39,Scleractinian (foliose),3
Other (Scleractinian foliose),40,Scleractinian (foliose),3
Agaricia agaricites (agaricites),41,Scleractinian (massive),4
Agaricia humilis,42,Scleractinian (massive),4
Colpophyllia natans,43,Scleractinian (massive),4
Dichocoenia stokesii,44,Scleractinian (massive),4
