Image,Path,spp Name,spp ID,N pts per species,Cov% per species,N pts ALL species,Cov% ALL species,Reference random pts
DSCN1251.JPG,C:\Users\Fisurella\Desktop\bs_t1\,Porites astreoides,62,1,1,100,100,100
DSCN1251.JPG,C:\Users\Fisurella\Desktop\bs_t1\,Plexaura sp.,115,2,2,100,100,100
DSCN1251.JPG,C:\Users\Fisurella\Desktop\bs_t1\,Turf,217,59,59,100,100,100
DSCN1251.JPG,C:\Users\Fisurella\Desktop\bs_t1\,Dictyota sp.,225,5,5,100,100,100
DSCN1251.JPG,C:\Users\Fisurella\Desktop\bs_t1\,Rubble,273,33,33,100,100,100
DSCN1254.JPG,C:\Users\Fisurella\Desktop\bs_t1\,Erythropodium caribaeorum,122,10,10,100,100,100
DSCN1254.JPG,C:\Users\Fisurella\Desktop\bs_t1\,Turf,217,51,51,100,100,100
DSCN1254.JPG,C:\Users\Fisurella\Desktop\bs_t1\,Dictyota sp.,225,6,6,100,100,100
DSCN1254.JPG,C:\Users\Fisurella\Desktop\bs_t1\,Rubble,273,33,33,100,100,100
DSCN1255.JPG,C:\Users\Fisurella\Desktop\bs_t1\,Turf,217,78,78,100,100,100
DSCN1255.JPG,C:\Users\Fisurella\Desktop\bs_t1\,Dictyota sp.,225,10,10,100,100,100
DSCN1255.JPG,C:\Users\Fisurella\Desktop\bs_t1\,Sand,274,12,12,100,100,100
DSCN1257.JPG,C:\Users\Fisurella\Desktop\bs_t1\,Erythropodium caribaeorum,122,7,7,100,100,100
DSCN1257.JPG,C:\Users\Fisurella\Desktop\bs_t1\,Turf,217,82,82,100,100,100
DSCN1257.JPG,C:\Users\Fisurella\Desktop\bs_t1\,Sand,274,11,11,100,100,100
DSCN1260.JPG,C:\Users\Fisurella\Desktop\bs_t1\,Cyanobacteria,216,1,1,100,100,100
DSCN1260.JPG,C:\Users\Fisurella\Desktop\bs_t1\,Turf,217,76,76,100,100,100
DSCN1260.JPG,C:\Users\Fisurella\Desktop\bs_t1\,Sand,274,23,23,100,100,100
DSCN1260.JPG,C:\Users\Fisurella\Desktop\bs_t1\,Cyanobacteria,216,1,1,100,100,100
DSCN1260.JPG,C:\Users\Fisurella\Desktop\bs_t1\,Turf,217,76,76,100,100,100
DSCN1260.JPG,C:\Users\Fisurella\Desktop\bs_t1\,Sand,274,23,23,100,100,100
DSCN1262.JPG,C:\Users\Fisurella\Desktop\bs_t1\,Colpophyllia natans,43,1,1,100,100,100
DSCN1262.JPG,C:\Users\Fisurella\Desktop\bs_t1\,Agaricia humilis,87,1,1,100,100,100
DSCN1262.JPG,C:\Users\Fisurella\Desktop\bs_t1\,Porites astreoides,95,1,1,100,100,100
DSCN1262.JPG,C:\Users\Fisurella\Desktop\bs_t1\,Pseudoplexaura sp.,117,2,2,100,100,100
DSCN1262.JPG,C:\Users\Fisurella\Desktop\bs_t1\,Erythropodium caribaeorum,122,1,1,100,100,100
DSCN1262.JPG,C:\Users\Fisurella\Desktop\bs_t1\,Turf,217,89,89,100,100,100
