Image,Path,spp Name,spp ID,N pts per species,Cov% per species,N pts ALL species,Cov% ALL species,Reference random pts
DSCN3868.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Oriente\Cubagua\Charagato\charagato_t4\Bentos\,Pseudoplexaura sp.,117,12,12,100,100,100
DSCN3868.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Oriente\Cubagua\Charagato\charagato_t4\Bentos\,Pseudopterogorgia sp.,118,11,11,100,100,100
DSCN3868.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Oriente\Cubagua\Charagato\charagato_t4\Bentos\,Other (Octocorals erect),120,2,2,100,100,100
DSCN3868.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Oriente\Cubagua\Charagato\charagato_t4\Bentos\,Millepora alcicornis,126,2,2,100,100,100
DSCN3868.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Oriente\Cubagua\Charagato\charagato_t4\Bentos\,Turf,217,6,6,100,100,100
DSCN3868.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Oriente\Cubagua\Charagato\charagato_t4\Bentos\,Biotic (unknown),262,1,1,100,100,100
DSCN3868.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Oriente\Cubagua\Charagato\charagato_t4\Bentos\,Sand,274,63,63,100,100,100
DSCN3868.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Oriente\Cubagua\Charagato\charagato_t4\Bentos\,Artifact,278,3,3,100,100,100
DSCN3869.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Oriente\Cubagua\Charagato\charagato_t4\Bentos\,Colpophyllia natans,43,48,48,100,100,100
DSCN3869.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Oriente\Cubagua\Charagato\charagato_t4\Bentos\,Pseudopterogorgia sp.,118,20,20,100,100,100
