Image,Path,spp Name,spp ID,N pts per species,Cov% per species,N pts ALL species,Cov% ALL species,Reference random pts
DSCN4881.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Other (Scleractinian foliose),40,1,1,100,100,100
DSCN4881.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Turf,217,94,94,100,100,100
DSCN4881.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Other (Fleshy algae),242,3,3,100,100,100
DSCN4881.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Biotic (unknown),262,1,1,100,100,100
DSCN4881.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Artifact,278,1,1,100,100,100
DSCN4882.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Colpophyllia natans,43,20,20,100,100,100
DSCN4882.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Other (Scleractinian massive),73,1,1,100,100,100
DSCN4882.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Millepora alcicornis,126,4,4,100,100,100
DSCN4882.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Turf,217,67,67,100,100,100
DSCN4882.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Rubble,273,1,1,100,100,100
DSCN4882.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Artifact,278,7,7,100,100,100
DSCN4883.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Orbicella faveolata,59,2,2,100,100,100
DSCN4883.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Orbicella sp.,61,4,4,100,100,100
DSCN4883.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Other (Scleractinian massive),73,3,3,100,100,100
DSCN4883.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Plexaura sp.,115,20,20,100,100,100
DSCN4883.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Millepora alcicornis,126,3,3,100,100,100
DSCN4883.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Palythoa caribbaeorum,132,3,3,100,100,100
DSCN4883.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Turf,217,65,65,100,100,100
DSCN4884.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Porites astreoides,62,3,3,100,100,100
DSCN4884.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Siderastrea siderea,67,33,33,100,100,100
DSCN4884.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Millepora alcicornis,126,11,11,100,100,100
DSCN4884.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Palythoa caribbaeorum,132,8,8,100,100,100
DSCN4884.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Turf,217,44,44,100,100,100
DSCN4884.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Biotic (unknown),262,1,1,100,100,100
DSCN4885.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Palythoa caribbaeorum,132,15,15,100,100,100
DSCN4885.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Turf,217,70,70,100,100,100
DSCN4885.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Rubble,273,4,4,100,100,100
DSCN4885.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Sand,274,11,11,100,100,100
DSCN4886.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Colpophyllia natans,43,35,35,100,100,100
DSCN4886.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Pseudodiploria strigosa,65,10,10,100,100,100
DSCN4886.JPG,C:\Users\Fisurella\Desktop\cienaga_oeste_t1\Bentos\,Turf,217,55,55,100,100,100
