Image,Path,spp Name,spp ID,N pts per species,Cov% per species,N pts ALL species,Cov% ALL species,Reference random pts
DSCN3704.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\puntaconejo_t2\Bentos\,Other (Sponge massive),159,3,3,100,100,100
DSCN3704.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\puntaconejo_t2\Bentos\,Turf,217,68,68,100,100,100
DSCN3704.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\puntaconejo_t2\Bentos\,Ulva sp.,240,22,22,100,100,100
DSCN3704.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\puntaconejo_t2\Bentos\,Sand,274,7,7,100,100,100
DSCN3706.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\puntaconejo_t2\Bentos\,Oculina diffusa,9,1,1,100,100,100
DSCN3706.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\puntaconejo_t2\Bentos\,Other (Sponge massive),159,2,2,100,100,100
DSCN3706.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\puntaconejo_t2\Bentos\,Other (Sponge encrusting),185,2,2,100,100,100
DSCN3706.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\puntaconejo_t2\Bentos\,Turf,217,24,24,100,100,100
DSCN3706.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\puntaconejo_t2\Bentos\,Ulva sp.,240,61,61,100,100,100
DSCN3706.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\puntaconejo_t2\Bentos\,Gap,271,1,1,100,100,100
DSCN3706.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\puntaconejo_t2\Bentos\,Artifact,278,9,9,100,100,100
DSCN3707.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\puntaconejo_t2\Bentos\,Other (Sponge massive),159,13,13,100,100,100
DSCN3707.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\puntaconejo_t2\Bentos\,Other (Sponge encrusting),185,2,2,100,100,100
DSCN3707.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\puntaconejo_t2\Bentos\,Turf,217,48,48,100,100,100
DSCN3707.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\puntaconejo_t2\Bentos\,Ulva sp.,240,33,33,100,100,100
DSCN3707.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\puntaconejo_t2\Bentos\,Artifact,278,4,4,100,100,100
DSCN3709.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\puntaconejo_t2\Bentos\,Other (Sponge massive),159,13,13,100,100,100
DSCN3709.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\puntaconejo_t2\Bentos\,Other (Sponge encrusting),185,3,3,100,100,100
DSCN3709.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\puntaconejo_t2\Bentos\,Turf,217,45,45,100,100,100
DSCN3709.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\puntaconejo_t2\Bentos\,Ulva sp.,240,37,37,100,100,100
DSCN3709.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\puntaconejo_t2\Bentos\,Other (Fleshy algae),242,2,2,100,100,100
DSCN3710.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\puntaconejo_t2\Bentos\,Other (Sponge massive),159,11,11,100,100,100
DSCN3710.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\puntaconejo_t2\Bentos\,Turf,217,8,8,100,100,100
DSCN3710.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\puntaconejo_t2\Bentos\,Ulva sp.,240,59,59,100,100,100
