Image,Path,spp Name,spp ID,N pts per species,Cov% per species,N pts ALL species,Cov% ALL species,Reference random pts
DSCN2277.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Colpophyllia natans,43,4,4,100,100,100
DSCN2277.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Niphates sp.,151,2,2,100,100,100
DSCN2277.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Other (Sponge encrusting),185,1,1,100,100,100
DSCN2277.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Cyanobacteria,216,2,2,100,100,100
DSCN2277.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Turf,217,25,25,100,100,100
DSCN2277.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Other (Algae),218,1,1,100,100,100
DSCN2277.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Other (Macroalgae),242,45,45,100,100,100
DSCN2277.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Sand,274,20,20,100,100,100
DSCN2278.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Colpophyllia natans,43,2,2,100,100,100
DSCN2278.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Isophyllia rigida,47,1,1,100,100,100
DSCN2278.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Siderastrea siderea,67,1,1,100,100,100
DSCN2278.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Millepora alcicornis,126,1,1,100,100,100
DSCN2278.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Other (Sponge massive),159,2,2,100,100,100
DSCN2278.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Turf,217,15,15,100,100,100
DSCN2278.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Other (Macroalgae),242,61,61,100,100,100
DSCN2278.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Sand,274,17,17,100,100,100
DSCN2283.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Colpophyllia natans,43,12,12,100,100,100
DSCN2283.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Pseudodiploria strigosa,65,5,5,100,100,100
DSCN2283.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Other (Scleractinian massive),73,1,1,100,100,100
DSCN2283.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Other (Sponge encrusting),185,1,1,100,100,100
DSCN2283.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Turf,217,14,14,100,100,100
DSCN2283.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Other (Macroalgae),242,56,56,100,100,100
DSCN2283.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Spirobranchius sp.,258,1,1,100,100,100
DSCN2283.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Dead coral,268,1,1,100,100,100
DSCN2283.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Sand,274,9,9,100,100,100
DSCN2284.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Madracis senaria,50,1,1,100,100,100
DSCN2284.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Siderastrea siderea,67,1,1,100,100,100
DSCN2284.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Other (Sponge encrusting),185,1,1,100,100,100
DSCN2284.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Turf,217,12,12,100,100,100
DSCN2284.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Dictyota sp.,225,1,1,100,100,100
DSCN2284.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Other (Macroalgae),242,75,75,100,100,100
DSCN2284.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Spirobranchius sp.,258,1,1,100,100,100
DSCN2284.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Sand,274,8,8,100,100,100
DSCN2286.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Colpophyllia natans,43,1,1,100,100,100
DSCN2286.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Montastrea cavernosa,56,4,4,100,100,100
DSCN2286.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Pseudodiploria strigosa,65,1,1,100,100,100
DSCN2286.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Scolymia cubensis,77,1,1,100,100,100
DSCN2286.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Millepora alcicornis,126,2,2,100,100,100
DSCN2286.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Turf,217,19,19,100,100,100
DSCN2286.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Dictyota sp.,225,1,1,100,100,100
DSCN2286.JPG,C:\Users\user\Google Drive\Investigación\Waitt 2017\Venezuela\Data\Mochima\Juev-4-6-17\Punta Cruz\Cruz_T1\,Other (Macroalgae),242,68,68,100,100,100
