Image,Path,spp Name,spp ID,N pts per species,Cov% per species,N pts ALL species,Cov% ALL species,Reference random pts
DSCN0207.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Orbicella annularis,58,25,25,100,100,100
DSCN0207.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Turf,217,62,62,100,100,100
DSCN0207.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Dictyota sp.,225,5,5,100,100,100
DSCN0207.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Biotic (unknown),262,1,1,100,100,100
DSCN0207.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Gap,271,6,6,100,100,100
DSCN0207.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Other (Algae),288,1,1,100,100,100
DSCN0208.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Orbicella faveolata,59,17,17,100,100,100
DSCN0208.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Turf,217,71,71,100,100,100
DSCN0208.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Sand,274,12,12,100,100,100
DSCN0209.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Colpophyllia natans,43,10,10,100,100,100
DSCN0209.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Orbicella faveolata,59,5,5,100,100,100
DSCN0209.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Plexaura sp.,115,3,3,100,100,100
DSCN0209.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Pterogorgia sp.,119,10,10,100,100,100
DSCN0209.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Cyanobacteria,216,54,54,100,100,100
DSCN0209.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Turf,217,1,1,100,100,100
DSCN0209.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Rubble,273,11,11,100,100,100
DSCN0209.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Sand,274,6,6,100,100,100
DSCN0210.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Orbicella annularis,58,11,11,100,100,100
DSCN0210.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Briareum asbestinum,110,1,1,100,100,100
DSCN0210.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Pterogorgia sp.,119,3,3,100,100,100
DSCN0210.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Briareum asbestinum,121,2,2,100,100,100
DSCN0210.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Cyanobacteria,216,4,4,100,100,100
DSCN0210.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Turf,217,25,25,100,100,100
DSCN0210.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Gap,271,3,3,100,100,100
DSCN0210.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Rubble,273,22,22,100,100,100
DSCN0210.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Sand,274,29,29,100,100,100
DSCN0211.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Colpophyllia natans,43,4,4,100,100,100
DSCN0211.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Orbicella annularis,58,11,11,100,100,100
DSCN0211.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Eunicea sp.,111,3,3,100,100,100
DSCN0211.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Cyanobacteria,216,3,3,100,100,100
DSCN0211.JPG,C:\Users\Invitado\Google Drive\USB\Proyectos Arrecifes\Venezuela_100pts\Data\Data cruda\Islas Oceánicas\Los Roques\Dos Mosquises Sur\dosmosquisessur_t1\Bentos\,Turf,217,73,73,100,100,100
