Image,Path,spp Name,spp ID,N pts per species,Cov% per species,N pts ALL species,Cov% ALL species,Reference random pts
DSCN4722.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\guabinitas_t1\Bentos\,Erythropodium caribaeorum,122,19,19,100,100,100
DSCN4722.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\guabinitas_t1\Bentos\,Millepora complanata,127,2,2,100,100,100
DSCN4722.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\guabinitas_t1\Bentos\,Millepora sp.,129,1,1,100,100,100
DSCN4722.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\guabinitas_t1\Bentos\,Palythoa caribbaeorum,132,31,31,100,100,100
DSCN4722.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\guabinitas_t1\Bentos\,Turf,217,38,38,100,100,100
DSCN4722.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\guabinitas_t1\Bentos\,Biotic (unknown),262,5,5,100,100,100
DSCN4722.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\guabinitas_t1\Bentos\,Dead octocoral,269,2,2,100,100,100
DSCN4722.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\guabinitas_t1\Bentos\,Artifact,278,2,2,100,100,100
DSCN4723.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\guabinitas_t1\Bentos\,Plexaura sp.,115,1,1,100,100,100
DSCN4723.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\guabinitas_t1\Bentos\,Pterogorgia sp.,119,3,3,100,100,100
DSCN4723.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\guabinitas_t1\Bentos\,Erythropodium caribaeorum,122,5,5,100,100,100
DSCN4723.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\guabinitas_t1\Bentos\,Palythoa caribbaeorum,132,5,5,100,100,100
DSCN4723.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\guabinitas_t1\Bentos\,Turf,217,83,83,100,100,100
DSCN4723.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\guabinitas_t1\Bentos\,Biotic (unknown),262,1,1,100,100,100
DSCN4723.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\guabinitas_t1\Bentos\,Artifact,278,2,2,100,100,100
DSCN4724.JPG,C:\Users\Daniela Sánchez\Documents\LEE\Proyecto Venezuela\guabinitas_t1\Bentos\,Porites astreoides,62,2,2,100,100,100
