Image,Path,spp Name,spp ID,N pts per species,Cov% per species,N pts ALL species,Cov% ALL species,Reference random pts
DSCN0614.JPG,C:\Users\Usuario\Desktop\Madrisqui\,Agaricia humilis,42,1,1,100,100,100
DSCN0614.JPG,C:\Users\Usuario\Desktop\Madrisqui\,Porites astreoides,62,2,2,100,100,100
DSCN0614.JPG,C:\Users\Usuario\Desktop\Madrisqui\,Plexaura sp.,115,4,4,100,100,100
DSCN0614.JPG,C:\Users\Usuario\Desktop\Madrisqui\,Other (Octocorals erect),120,8,8,100,100,100
DSCN0614.JPG,C:\Users\Usuario\Desktop\Madrisqui\,Millepora alcicornis,126,7,7,100,100,100
DSCN0614.JPG,C:\Users\Usuario\Desktop\Madrisqui\,Turf,217,67,67,100,100,100
DSCN0614.JPG,C:\Users\Usuario\Desktop\Madrisqui\,Other (Fleshy algae),242,10,10,100,100,100
DSCN0614.JPG,C:\Users\Usuario\Desktop\Madrisqui\,Biotic (unknown),262,1,1,100,100,100
DSCN0615.JPG,C:\Users\Usuario\Desktop\Madrisqui\,Orbicella annularis,58,3,3,100,100,100
DSCN0615.JPG,C:\Users\Usuario\Desktop\Madrisqui\,Orbicella faveolata,59,28,28,100,100,100
DSCN0615.JPG,C:\Users\Usuario\Desktop\Madrisqui\,Porites astreoides,62,1,1,100,100,100
DSCN0615.JPG,C:\Users\Usuario\Desktop\Madrisqui\,Other (Scleractinian massive),73,1,1,100,100,100
DSCN0615.JPG,C:\Users\Usuario\Desktop\Madrisqui\,Briareum asbestinum,110,2,2,100,100,100
DSCN0615.JPG,C:\Users\Usuario\Desktop\Madrisqui\,Plexaura sp.,115,3,3,100,100,100
DSCN0615.JPG,C:\Users\Usuario\Desktop\Madrisqui\,Other (Octocorals erect),120,2,2,100,100,100
DSCN0615.JPG,C:\Users\Usuario\Desktop\Madrisqui\,Millepora alcicornis,126,1,1,100,100,100
DSCN0615.JPG,C:\Users\Usuario\Desktop\Madrisqui\,Other (Sponge massive),159,3,3,100,100,100
DSCN0615.JPG,C:\Users\Usuario\Desktop\Madrisqui\,Turf,217,37,37,100,100,100
DSCN0615.JPG,C:\Users\Usuario\Desktop\Madrisqui\,Dictyota sp.,225,6,6,100,100,100
DSCN0615.JPG,C:\Users\Usuario\Desktop\Madrisqui\,Biotic (unknown),262,1,1,100,100,100
DSCN0615.JPG,C:\Users\Usuario\Desktop\Madrisqui\,Rubble,273,2,2,100,100,100
DSCN0615.JPG,C:\Users\Usuario\Desktop\Madrisqui\,Sand,274,10,10,100,100,100
