Image,Path,spp Name,spp ID,N pts per species,Cov% per species,N pts ALL species,Cov% ALL species,Reference random pts
DSCN3447.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Costa Central\Chichiriviche\Punta Media Legua\puntamedialegua_t4\Bentos\,Siderastrea siderea,67,1,1,100,100,100
DSCN3447.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Costa Central\Chichiriviche\Punta Media Legua\puntamedialegua_t4\Bentos\,Agaricia humilis,87,1,1,100,100,100
DSCN3447.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Costa Central\Chichiriviche\Punta Media Legua\puntamedialegua_t4\Bentos\,Millepora alcicornis,126,30,30,100,100,100
DSCN3447.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Costa Central\Chichiriviche\Punta Media Legua\puntamedialegua_t4\Bentos\,Palythoa caribbaeorum,132,11,11,100,100,100
DSCN3447.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Costa Central\Chichiriviche\Punta Media Legua\puntamedialegua_t4\Bentos\,Crustose coraline,215,4,4,100,100,100
DSCN3447.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Costa Central\Chichiriviche\Punta Media Legua\puntamedialegua_t4\Bentos\,Cyanobacteria,216,8,8,100,100,100
DSCN3447.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Costa Central\Chichiriviche\Punta Media Legua\puntamedialegua_t4\Bentos\,Turf,217,41,41,100,100,100
DSCN3447.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Costa Central\Chichiriviche\Punta Media Legua\puntamedialegua_t4\Bentos\,Artifact,278,4,4,100,100,100
DSCN3448.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Costa Central\Chichiriviche\Punta Media Legua\puntamedialegua_t4\Bentos\,Pseudodiploria strigosa,34,1,1,100,100,100
DSCN3448.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Costa Central\Chichiriviche\Punta Media Legua\puntamedialegua_t4\Bentos\,Siderastrea siderea,67,2,2,100,100,100
DSCN3448.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Costa Central\Chichiriviche\Punta Media Legua\puntamedialegua_t4\Bentos\,Eunicea sp.,111,7,7,100,100,100
DSCN3448.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Costa Central\Chichiriviche\Punta Media Legua\puntamedialegua_t4\Bentos\,Plexaura sp.,115,8,8,100,100,100
DSCN3448.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Costa Central\Chichiriviche\Punta Media Legua\puntamedialegua_t4\Bentos\,Millepora alcicornis,126,3,3,100,100,100
DSCN3448.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Costa Central\Chichiriviche\Punta Media Legua\puntamedialegua_t4\Bentos\,Turf,217,75,75,100,100,100
DSCN3448.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Costa Central\Chichiriviche\Punta Media Legua\puntamedialegua_t4\Bentos\,Artifact,278,4,4,100,100,100
DSCN3450.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Costa Central\Chichiriviche\Punta Media Legua\puntamedialegua_t4\Bentos\,Pseudodiploria strigosa,65,3,3,100,100,100
DSCN3450.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Costa Central\Chichiriviche\Punta Media Legua\puntamedialegua_t4\Bentos\,Other (Octocorals erect),120,1,1,100,100,100
DSCN3450.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Costa Central\Chichiriviche\Punta Media Legua\puntamedialegua_t4\Bentos\,Turf,217,87,87,100,100,100
DSCN3450.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Costa Central\Chichiriviche\Punta Media Legua\puntamedialegua_t4\Bentos\,Artifact,278,9,9,100,100,100
DSCN3452.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Costa Central\Chichiriviche\Punta Media Legua\puntamedialegua_t4\Bentos\,Montastrea cavernosa,56,3,3,100,100,100
DSCN3452.JPG,C:\Users\Emy Miyazawa\Google Drive\Venezuela_100pts\Data\Data cruda\Costa Central\Chichiriviche\Punta Media Legua\puntamedialegua_t4\Bentos\,Siderastrea siderea,67,1,1,100,100,100
