Image,Path,spp Name,spp ID,N pts per species,Cov% per species,N pts ALL species,Cov% ALL species,Reference random pts
DSCN1158.JPG,C:\Users\Orbicella\Desktop\Cayo Mero\,Other (Sponge encrusting),185,1,1,100,100,100
DSCN1158.JPG,C:\Users\Orbicella\Desktop\Cayo Mero\,Turf,217,36,36,100,100,100
DSCN1158.JPG,C:\Users\Orbicella\Desktop\Cayo Mero\,Dictyota sp.,225,9,9,100,100,100
DSCN1158.JPG,C:\Users\Orbicella\Desktop\Cayo Mero\,Rubble,273,28,28,100,100,100
DSCN1158.JPG,C:\Users\Orbicella\Desktop\Cayo Mero\,Sand,274,26,26,100,100,100
DSCN1159.JPG,C:\Users\Orbicella\Desktop\Cayo Mero\,Turf,217,37,37,100,100,100
DSCN1159.JPG,C:\Users\Orbicella\Desktop\Cayo Mero\,Dictyota sp.,225,4,4,100,100,100
DSCN1159.JPG,C:\Users\Orbicella\Desktop\Cayo Mero\,Rubble,273,24,24,100,100,100
DSCN1159.JPG,C:\Users\Orbicella\Desktop\Cayo Mero\,Sand,274,35,35,100,100,100
DSCN1160.JPG,C:\Users\Orbicella\Desktop\Cayo Mero\,Orbicella faveolata,59,3,3,100,100,100
DSCN1160.JPG,C:\Users\Orbicella\Desktop\Cayo Mero\,Porites astreoides,62,1,1,100,100,100
DSCN1160.JPG,C:\Users\Orbicella\Desktop\Cayo Mero\,Millepora alcicornis,126,1,1,100,100,100
DSCN1160.JPG,C:\Users\Orbicella\Desktop\Cayo Mero\,Other (Sponge massive),159,1,1,100,100,100
DSCN1160.JPG,C:\Users\Orbicella\Desktop\Cayo Mero\,Other (Sponge erect),211,7,7,100,100,100
DSCN1160.JPG,C:\Users\Orbicella\Desktop\Cayo Mero\,Crustose coraline,215,2,2,100,100,100
DSCN1160.JPG,C:\Users\Orbicella\Desktop\Cayo Mero\,Cyanobacteria,216,4,4,100,100,100
DSCN1160.JPG,C:\Users\Orbicella\Desktop\Cayo Mero\,Turf,217,77,77,100,100,100
DSCN1160.JPG,C:\Users\Orbicella\Desktop\Cayo Mero\,Galaxaura sp.,229,1,1,100,100,100
DSCN1160.JPG,C:\Users\Orbicella\Desktop\Cayo Mero\,Other (Fleshy algae),242,2,2,100,100,100
DSCN1160.JPG,C:\Users\Orbicella\Desktop\Cayo Mero\,Sand,274,1,1,100,100,100
DSCN1161.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Colpophyllia natans,43,1,1,100,100,100
DSCN1161.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Porites astreoides,62,8,8,100,100,100
DSCN1161.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Agaricia humilis,87,2,2,100,100,100
DSCN1161.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Other (Sponge encrusting),185,1,1,100,100,100
DSCN1161.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Turf,217,81,81,100,100,100
DSCN1161.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Dictyota sp.,225,6,6,100,100,100
DSCN1161.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Rubble,273,1,1,100,100,100
DSCN1163.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Orbicella annularis,58,1,1,100,100,100
DSCN1163.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Porites astreoides,62,1,1,100,100,100
DSCN1163.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Other (Scleractinian massive),73,1,1,100,100,100
DSCN1163.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Turf,217,47,47,100,100,100
DSCN1163.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Rubble,273,50,50,100,100,100
DSCN1164.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Agaricia humilis,42,1,1,100,100,100
DSCN1164.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Other (Sponge erect),211,4,4,100,100,100
DSCN1164.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Turf,217,69,69,100,100,100
DSCN1164.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Rubble,273,26,26,100,100,100
DSCN1165.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Other (Sponge massive),159,1,1,100,100,100
DSCN1165.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Turf,217,13,13,100,100,100
DSCN1165.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Dictyota sp.,225,3,3,100,100,100
DSCN1165.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Rubble,273,10,10,100,100,100
DSCN1165.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Sand,274,73,73,100,100,100
DSCN1166.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Siderastrea siderea,67,2,2,100,100,100
DSCN1166.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Other (Sponge massive),159,1,1,100,100,100
DSCN1166.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Turf,217,26,26,100,100,100
DSCN1166.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Dictyota sp.,225,7,7,100,100,100
DSCN1166.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Rubble,273,15,15,100,100,100
DSCN1166.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Sand,274,49,49,100,100,100
DSCN1167.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Porites astreoides,62,2,2,100,100,100
DSCN1167.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Turf,217,36,36,100,100,100
DSCN1167.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Dictyota sp.,225,49,49,100,100,100
DSCN1167.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Rubble,273,13,13,100,100,100
DSCN1168.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Colpophyllia natans,43,9,9,100,100,100
DSCN1168.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Other (Sponge massive),159,1,1,100,100,100
DSCN1168.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Turf,217,36,36,100,100,100
DSCN1168.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Dictyota sp.,225,3,3,100,100,100
DSCN1168.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Rubble,273,51,51,100,100,100
DSCN1169.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Agaricia humilis,42,1,1,100,100,100
DSCN1169.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Porites astreoides,62,1,1,100,100,100
DSCN1169.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Turf,217,48,48,100,100,100
DSCN1169.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Dictyota sp.,225,7,7,100,100,100
DSCN1169.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Rubble,273,43,43,100,100,100
DSCN1170.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Orbicella sp.,61,1,1,100,100,100
DSCN1170.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Dictyota sp.,225,39,39,100,100,100
DSCN1170.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Rubble,273,60,60,100,100,100
DSCN1171.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Erythropodium caribaeorum,122,2,2,100,100,100
DSCN1171.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Turf,217,43,43,100,100,100
DSCN1171.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Dictyota sp.,225,2,2,100,100,100
DSCN1171.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Rubble,273,53,53,100,100,100
DSCN1173.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Turf,217,26,26,100,100,100
DSCN1173.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Dictyota sp.,225,65,65,100,100,100
DSCN1173.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Rubble,273,9,9,100,100,100
DSCN1174.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Porites astreoides,62,2,2,100,100,100
DSCN1174.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Other (Sponge massive),159,1,1,100,100,100
DSCN1174.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Cyanobacteria,216,7,7,100,100,100
DSCN1174.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Turf,217,60,60,100,100,100
DSCN1174.JPG,C:\Users\Fisurella\Desktop\Cayo mero\,Dictyota sp.,225,30,30,100,100,100
